,y
112251,0
89743,0
114059,0
33973,0
20904,0
26006,0
90836,0
22980,0
28781,0
49512,0
102149,0
75704,0
18363,0
97451,0
92535,0
87508,0
8535,0
56261,0
92009,0
21791,0
25652,0
29286,0
85504,0
55531,0
28021,0
92421,0
57173,0
105225,0
96762,1
6400,0
57582,0
14493,0
41679,0
32993,0
29393,0
20214,0
74762,0
71604,0
16534,0
6849,1
94980,0
90506,0
111315,0
17467,0
104094,0
14477,1
84552,0
11445,1
2971,0
11697,0
28814,0
58221,0
86714,0
49892,0
46688,0
72963,0
46108,0
55633,0
36354,0
17314,0
11918,0
14353,0
41854,1
66978,0
46823,0
50344,0
110290,0
27222,0
4511,0
65597,0
82950,0
31638,0
1570,0
9033,0
34385,0
81283,0
27195,0
86590,0
109822,1
104950,0
77273,0
81606,1
34351,1
25669,0
64077,0
92322,0
87269,1
86712,0
83359,0
102898,1
40126,0
38113,0
52880,1
51001,1
78320,0
11723,0
58532,1
75599,0
23801,0
51064,0
36860,0
25646,0
8543,0
44691,0
67975,0
80036,1
72201,0
88228,1
15809,0
73022,0
50687,0
22754,0
8742,1
42782,0
11160,0
31304,0
96731,0
61589,0
67599,0
96767,0
95972,1
38703,0
45893,0
18507,0
94829,0
92129,0
101787,0
11819,1
103754,0
92571,1
45329,0
9207,0
10146,0
418,0
70152,0
63634,1
70685,0
78004,0
22320,0
132,0
22080,0
91731,0
58729,0
35951,1
61056,0
27364,0
3035,0
63932,0
80586,1
59930,0
79129,0
14226,0
80980,1
44093,0
47052,0
18587,0
12924,0
51005,1
19857,0
19099,0
87189,0
16978,0
71077,1
85044,0
53513,1
105903,0
27987,0
15269,0
24638,0
55670,0
3366,0
39337,1
70113,0
619,0
45029,0
93747,0
26885,0
113028,0
37077,0
50566,0
10096,0
27568,0
49833,0
79449,0
31648,0
64426,0
32495,0
12960,0
117766,0
43530,0
53126,0
45,1
73784,0
39473,0
37260,0
40544,0
31221,0
80638,0
24922,1
45838,1
81023,0
78936,0
33030,0
19217,0
68589,0
59543,1
93032,0
50944,0
46612,0
30933,0
20054,0
75391,0
105261,1
101750,0
61874,0
91472,0
57118,0
10833,0
50182,0
30253,0
66175,0
62957,0
25576,0
3603,0
36372,0
25724,1
64285,0
69543,0
31227,0
14942,0
72831,1
46909,0
26761,0
82419,0
91798,1
61503,0
50103,0
64335,1
53737,0
12420,1
29545,0
95248,1
10104,1
109878,0
15981,0
108903,0
119165,0
50054,1
31669,1
90322,0
31433,1
97094,0
10483,1
39761,0
86376,0
14150,0
90859,0
113470,0
96534,0
51511,0
84711,0
56371,0
51934,0
64918,1
13077,0
7143,0
79429,0
68701,0
39323,0
16027,0
6336,0
9439,0
29890,0
86381,1
66972,0
106934,0
102710,1
76459,0
42982,1
59765,0
85920,0
31448,1
5016,1
76576,0
73500,0
33761,0
108020,0
88983,0
13437,0
20489,0
22443,0
3628,0
19960,0
26341,0
66759,1
96603,0
71768,1
49936,0
51696,0
104879,0
23021,0
10563,0
58329,0
34931,1
96071,0
70022,0
87414,0
56099,0
6198,0
35399,0
89753,0
65945,0
37680,0
28009,0
56116,0
7413,0
80276,0
45689,0
20547,0
70097,0
103470,1
48793,0
5896,0
49451,0
78739,0
59083,0
35156,0
80563,1
116881,0
27354,0
14357,0
31549,0
103817,0
60291,0
45437,1
31193,0
153,1
80859,0
74359,0
